time,open,high,low,close,Volume,Volume MA
2020-09-11T17:00:00Z,2.62,2.67,2.54,2.63,144976.94622174,885119.7951965987
2020-09-12T17:00:00Z,2.63,2.68,2.5,2.51,180339.52414524,849574.1453439023
2020-09-13T17:00:00Z,2.5,2.6,2.49,2.58,96067.50867257,823826.4423212104
2020-09-14T17:00:00Z,2.6,2.61,2.5,2.51,135801.83996114,810391.0327914997
2020-09-15T17:00:00Z,2.51,2.53,2.42,2.47,42487.87589411,755127.3376724258
2020-09-16T17:00:00Z,2.46,2.54,2.42,2.51,71792.22414677,543716.7895215708
2020-09-17T17:00:00Z,2.48,2.61,2.47,2.54,196186.54349083,439406.80192423484
2020-09-18T17:00:00Z,2.54,2.54,2.47,2.53,55080.01292157,405125.3756257913
2020-09-19T17:00:00Z,2.55,2.55,2.45,2.45,74047.02568376,343213.76098758227
2020-09-20T17:00:00Z,2.47,2.48,2.15,2.19,257366.39608711,318945.8221347778
2020-09-21T17:00:00Z,2.15,2.24,2.11,2.18,74856.77429415,262913.5181867403
2020-09-22T17:00:00Z,2.17,2.48,2.16,2.35,113424.67067078,235335.9062858053
2020-09-23T17:00:00Z,2.35,2.37,2.14,2.35,145628.29528691,210007.4167133433
2020-09-24T17:00:00Z,2.37,2.44,2.27,2.37,170642.48868564,188203.9983204763
2020-09-25T17:00:00Z,2.39,2.6,2.37,2.5,219579.4490765,172544.6208532538
2020-09-26T17:00:00Z,2.52,2.57,2.4,2.48,101748.70022965,163942.87523367727
2020-09-27T17:00:00Z,2.49,2.55,2.47,2.54,42846.184584,158724.0509287393
2020-09-28T17:00:00Z,2.55,2.87,2.53,2.78,490160.80572015,178783.7434984553
2020-09-29T17:00:00Z,2.77,2.85,2.67,2.68,170880.84236851,163417.3463355593
2020-09-30T17:00:00Z,2.67,2.8,2.36,2.43,447085.74832209,161549.99282316078
2020-10-01T17:00:00Z,2.43,2.51,2.27,2.37,610099.29429489,184806.1102268183
2020-10-02T17:00:00Z,2.37,2.41,2.32,2.41,40490.37738247,177813.6528886798
2020-10-03T17:00:00Z,2.39,2.39,2.35,2.38,57364.28528281,175878.4917191918
2020-10-04T17:00:00Z,2.36,2.43,2.34,2.39,95019.05836118,173839.35263919382
2020-10-05T17:00:00Z,2.38,2.38,2.2,2.24,141247.45507809,178777.3315983928
2020-10-06T17:00:00Z,2.26,2.26,2.18,2.24,91405.76657965,179758.0087200368
2020-10-07T17:00:00Z,2.23,2.31,2.2,2.3,82382.87148534,174067.8251197623
2020-10-08T17:00:00Z,2.29,2.46,2.27,2.42,203925.93113246,181510.12103030682
2020-10-09T17:00:00Z,2.43,2.61,2.41,2.54,287903.03313764,192202.9214030008
2020-10-10T17:00:00Z,2.54,2.56,2.41,2.44,49342.053671,181801.7042821953
2020-10-11T17:00:00Z,2.46,2.46,2.4,2.43,69996.60963509,181558.6960492423
2020-10-12T17:00:00Z,2.43,2.5,2.39,2.41,120063.22419641,181890.6237255238
2020-10-13T17:00:00Z,2.41,2.42,2.38,2.38,37947.33352243,176506.5756372998
2020-10-14T17:00:00Z,2.38,2.44,2.32,2.35,120894.75926423,174019.18916622928
2020-10-15T17:00:00Z,2.34,2.35,2.24,2.3,254162.99549121,175748.3664869648
2020-10-16T17:00:00Z,2.27,2.37,2.23,2.35,201422.00656698,180732.03180383128
2020-10-17T17:00:00Z,2.3,2.45,2.3,2.37,144004.03940258,185789.9245447603
2020-10-18T17:00:00Z,2.35,2.37,2.3,2.32,99569.71130226,166260.36982386577
2020-10-19T17:00:00Z,2.32,2.33,2.21,2.27,206025.97957183,168017.62668403177
2020-10-20T17:00:00Z,2.23,2.32,2.22,2.3,124922.24465287,151909.45150057078
2020-10-21T17:00:00Z,2.3,2.37,2.28,2.37,200975.28242345,131453.2509069988
2020-10-22T17:00:00Z,2.37,2.38,2.28,2.28,80559.70988795,133456.7175322728
2020-10-23T17:00:00Z,2.29,2.4,2.28,2.38,186818.25742712,139929.41613948828
2020-10-24T17:00:00Z,2.38,2.39,2.29,2.29,103302.99942203,140343.6131925308
2020-10-25T17:00:00Z,2.29,2.34,2.24,2.24,69621.55943866,136762.31841055927
2020-10-26T17:00:00Z,2.26,2.32,2.24,2.25,79593.94179377,136171.7271712653
2020-10-27T17:00:00Z,2.24,2.27,2.1,2.11,388703.30060582,151487.7486272893
2020-10-28T17:00:00Z,2.1,2.17,2.02,2.1,249551.71339752,153769.0377405423
2020-10-29T17:00:00Z,2.06,2.15,1.92,1.94,199111.3810206,149329.4551346903
2020-10-30T17:00:00Z,1.93,2.06,1.93,2.02,197668.13705746,156745.75930401328
2020-10-31T17:00:00Z,2.02,2.06,2,2,52046.42657671,155848.25015109428
2020-11-01T17:00:00Z,2.02,2.13,1.99,2,338200.22578537,166755.1002305423
2020-11-02T17:00:00Z,1.99,2.01,1.9,1.96,132525.05008801,171483.98605882126
2020-11-03T17:00:00Z,1.96,1.99,1.93,1.97,110501.37672518,170964.3169318688
2020-11-04T17:00:00Z,1.98,2.1,1.97,2.09,202187.60896088,168365.5476053523
2020-11-05T17:00:00Z,2.05,2.77,2.05,2.69,2354977.37164425,276043.3158592158
2020-11-06T17:00:00Z,2.7,2.79,2.3,2.36,718282.63393869,304757.2455860213
2020-11-07T17:00:00Z,2.42,2.58,2.21,2.48,250789.32756371,312318.22639909375
2020-11-08T17:00:00Z,2.47,2.79,2.46,2.74,993553.13530621,351694.5841858128
2020-11-09T17:00:00Z,2.71,3.4,2.71,3.13,2512723.83924348,471084.6639153433
2020-11-10T17:00:00Z,3.06,3.13,2.61,2.74,1174822.47709977,519777.02364915935
2020-11-11T17:00:00Z,2.73,2.74,2.38,2.38,995560.57986832,565527.0671481779
2020-11-12T17:00:00Z,2.38,2.65,2.36,2.55,516608.0136782,582016.5549607319
2020-11-13T17:00:00Z,2.56,2.57,2.45,2.5,279480.37564286,590825.4237717733
2020-11-14T17:00:00Z,2.47,2.51,2.41,2.47,273541.9469764,601021.4431486602
2020-11-15T17:00:00Z,2.47,2.5,2.36,2.42,406236.06829816,617353.5494738797
2020-11-16T17:00:00Z,2.41,2.46,2.38,2.39,230651.50405467,609450.9596463222
2020-11-17T17:00:00Z,2.39,2.47,2.31,2.36,504417.34858842,622194.2414058673
2020-11-18T17:00:00Z,2.33,2.39,2.28,2.36,308931.63131592,627685.2539206332
2020-11-19T17:00:00Z,2.35,2.46,2.34,2.37,658316.56643842,650717.6753896812
2020-11-20T17:00:00Z,2.44,2.68,2.41,2.68,955488.27000752,695889.7675612217
2020-11-21T17:00:00Z,2.65,2.7,2.41,2.55,672391.47210348,712599.3298771272
2020-11-22T17:00:00Z,2.53,2.77,2.53,2.63,1061036.86236528,759024.9204909906
2020-11-23T17:00:00Z,2.68,2.92,2.62,2.79,911703.83230637,799085.0432700501
2020-11-24T17:00:00Z,2.79,2.98,2.74,2.87,758482.02472745,826899.7640583786
2020-11-25T17:00:00Z,2.9,2.95,2.35,2.37,866868.53752445,752494.3223523886
2020-11-26T17:00:00Z,2.36,2.49,2.35,2.35,530723.58002402,743116.3696566552
